,Unnamed: 0,marca,nombre,presentacion,producto_id,precio,sucursal_id,semana,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
1190,1190,COBRA,Autobrillo Negro para Calzados Cobra 60 Ml,60.0 ml,7791130001687,284.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1191,1191,PROCENEX,Limpiador Liquido Procenex 900 Ml,900.0 ml,7791130003087,74.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1192,1192,PROCENEX,Limpiador Liquido Marina Procenex 900 Cc,900.0 cc,7791130683661,74.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1193,1193,PROCENEX,Limpiador Liquido Pisos Limon Procenex 1.8 Lt,1.8 lt,7791130683791,80.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1194,1194,BOLS,Ginebra Bicentenario Bols 1 Lt,1.0 lt,7791200000510,312.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1195,1195,CADBURY,Chocolate con Yogur Frutilla Cadbury 27 Gr,27.0 gr,7791249020067,64.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1196,1196,SAN TELMO,Vino Tinto Malbec Seleccion San Telmo 750 Cc,750.0 cc,7791250000997,144.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1197,1197,SMIRNOFF,Vodka Raspberry Flavors Smirnoff 700 Cc,700.0 cc,7791250001871,445.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1198,1198,ALGABO,Polvo Desodorante para Pies Celeste Algabo 180 Gr,180.0 gr,7791274198045,80.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1199,1199,GRANBY,Jabon en Polvo Baja Espuma Lavado Total Granby 800 Gr,800.0 gr,7791290001008,103.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
